00:03:41.333 febs [main] INFO  org.feichai.FeichaiApplication - Starting FeichaiApplication using Java 18.0.2.1 on 192.168.88.198 with PID 25294 (/Users/gaomugong/IdeaProjects/java-playground/springboot/voteman/target/classes started by gaomugong in /Users/gaomugong/IdeaProjects/java-playground/springboot/voteman)
00:03:41.335 febs [main] INFO  org.feichai.FeichaiApplication - The following 1 profile is active: "dev"
00:03:41.679 febs [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
00:03:41.679 febs [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
00:03:41.699 febs [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 14 ms. Found 0 Redis repository interfaces.
00:03:41.992 febs [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
00:03:41.996 febs [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
00:03:41.996 febs [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
00:03:41.997 febs [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.73]
00:03:42.042 febs [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
00:03:42.042 febs [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 669 ms
00:03:42.115 febs [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
00:03:42.367 febs [main] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
00:03:42.393 febs [main] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
00:03:42.394 febs [main] INFO  o.a.catalina.core.StandardService - Stopping service [Tomcat]
00:03:42.401 febs [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
00:04:08.078 febs [main] INFO  org.feichai.FeichaiApplication - Starting FeichaiApplication using Java 18.0.2.1 on 192.168.88.198 with PID 25508 (/Users/gaomugong/IdeaProjects/java-playground/springboot/voteman/target/classes started by gaomugong in /Users/gaomugong/IdeaProjects/java-playground/springboot/voteman)
